freq,unit,wstatus,sex,age,deg_urb,geo\TIME_PERIOD,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
A,PC,POP,M,Y18-24,NRP,MK,1.49,2.446,2.304,2.377,2.088,2.066,1.972,1.908,1.57,1.926,1.834,1.653,1.601,1.394,1.475,1.599,1.684,1.608,1.641,1.708
A,PC,POP,M,Y18-24,NRP,TR,1.49,5.077,5.02,5.118,5.612,5.701,6.247,6.204,6.038,6.216,6.418,6.072,5.981,5.96,6.078,6.438,6.051,5.372,4.956,5.043
A,PC,POP,M,Y18-24,TOTAL,AT,1.357,1.266,1.48,1.404,1.273,1.267,1.491,1.375,1.363,1.331,1.43,1.43,1.737,1.745,1.998,2.341,2.431,2.299,2.293,2.367
A,PC,POP,M,Y18-24,TOTAL,BE,2.141,1.856,1.789,1.809,1.895,2.081,2.469,2.475,2.277,2.066,2.127,1.894,2.007,2.078,2.208,2.388,2.253,1.936,1.948,2.367
A,PC,POP,M,Y18-24,TOTAL,BG,2.883,2.176,1.957,1.904,2.029,1.87,1.856,2.079,2.122,2.241,2.439,2.544,2.315,2.47,3.071,3.16,2.861,2.202,2.318,2.084
A,PC,POP,M,Y18-24,TOTAL,CH,1.399,1.315,1.094,1.053,1.303,0.98,1.16,0.962,1.001,0.998,0.99,0.91,0.965,1.059,1.073,1.1,1.266,1.694,1.529,1.621
A,PC,POP,M,Y18-24,TOTAL,CY,3.806,2.766,2.51,2.566,2.251,2.443,2.502,2.836,2.553,1.961,1.412,2.117,1.814,1.941,2.187,3.395,2.988,2.226,2.786,3.731
A,PC,POP,M,Y18-24,TOTAL,CZ,0.854,0.664,0.734,0.783,0.814,0.739,0.895,1.048,0.932,1.016,1.174,1.225,1.312,1.255,1.388,1.756,1.772,1.718,1.578,1.364
A,PC,POP,M,Y18-24,TOTAL,DE,1.861,1.721,1.686,1.674,1.703,1.885,2.071,1.908,1.76,1.751,1.907,2.042,2.142,2.254,2.482,2.739,3.595,3.363,3.797,3.834
A,PC,POP,M,Y18-24,TOTAL,DK,1.469,1.291,2.085,2.025,2.118,2.187,2.071,1.925,1.725,1.698,1.815,1.597,2.161,2.49,2.545,2.739,2.937,2.928,2.909,2.856
A,PC,POP,M,Y18-24,TOTAL,EA20,2.799,2.434,2.471,2.539,2.68,2.669,2.784,2.715,2.501,2.346,2.402,2.358,2.45,2.49,2.608,2.903,2.988,2.783,2.934,2.985
A,PC,POP,M,Y18-24,TOTAL,EE,2.337,2.397,2.755,2.674,2.651,2.172,2.121,2.286,2.346,2.801,3.007,2.878,3.068,3.156,3.029,2.505,3.038,3.46,2.811,3.422
A,PC,POP,M,Y18-24,TOTAL,EL,2.393,2.41,2.343,2.431,2.651,2.473,2.635,2.354,2.191,2.014,1.724,1.318,1.37,1.117,1.031,1.03,0.861,0.92,0.937,0.952
A,PC,POP,M,Y18-24,TOTAL,ES,5.178,4.512,4.711,5.131,5.538,5.067,5.137,4.967,4.692,4.482,4.401,4.215,4.206,4.254,4.501,4.729,4.228,4.041,3.945,4.065
A,PC,POP,M,Y18-24,TOTAL,EU27_2020,2.477,2.139,2.175,2.214,2.369,2.398,2.502,2.492,2.346,2.224,2.292,2.247,2.335,2.372,2.482,2.786,2.912,2.686,2.786,2.83
A,PC,POP,M,Y18-24,TOTAL,FI,1.735,1.451,1.442,1.634,1.584,1.749,1.856,1.684,1.794,2.084,1.944,1.671,1.833,1.804,1.788,2.201,2.355,2.492,2.934,3.036
A,PC,POP,M,Y18-24,TOTAL,FR,2.001,1.795,1.957,1.863,2.147,2.307,2.336,2.354,1.846,1.733,1.834,1.875,2.007,2.078,2.019,2.271,2.431,2.226,2.342,2.419
A,PC,POP,M,Y18-24,TOTAL,HR,0.84,0.652,0.785,0.689,0.814,0.98,0.978,0.997,0.932,0.56,0.623,0.631,0.714,0.647,0.631,0.538,0.734,0.702,0.666,0.669
A,PC,POP,M,Y18-24,TOTAL,HU,1.917,1.684,1.609,1.674,1.807,1.734,2.038,2.114,2.156,2.189,2.2,2.395,2.315,2.47,2.671,2.997,3.114,3.097,3.131,2.753
A,PC,POP,M,Y18-24,TOTAL,IE,2.155,1.906,2.072,2.133,2.325,2.187,2.287,2.062,1.846,1.453,1.577,1.43,1.177,1.196,1.241,1.264,1.114,1.113,1.257,0.901
A,PC,POP,M,Y18-24,TOTAL,IS,4.156,1.337,3.501,3.538,3.717,3.921,3.678,4.056,4.209,4.272,4.566,4.382,4.341,5.411,5.153,4.167,4.962,5.251,5.449,5.146
A,PC,POP,M,Y18-24,TOTAL,IT,3.61,2.926,2.909,3.025,3.228,3.288,3.413,3.471,3.45,3.099,3.209,2.989,3.203,3.195,3.197,3.956,3.747,3.291,3.23,3.139
A,PC,POP,M,Y18-24,TOTAL,LT,1.539,1.414,1.3,1.377,1.718,1.478,1.657,1.392,1.346,1.226,1.265,1.114,1.351,1.196,1.073,1.803,1.595,1.331,1.627,2.573
A,PC,POP,M,Y18-24,TOTAL,LU,2.379,2.164,2.137,2.133,1.318,1.206,1.259,1.839,1.449,1.453,1.925,1.263,1.891,1.333,1.872,2.505,2.633,2.178,2.096,2.753
A,PC,POP,M,Y18-24,TOTAL,LV,2.659,2.373,2.652,2.701,2.606,2.518,2.618,2.526,2.346,2.049,2.457,2.544,2.315,2.235,2.208,2.224,2.253,2.25,2.465,2.47
A,PC,POP,M,Y18-24,TOTAL,MK,1.49,2.446,2.304,2.377,2.088,2.066,1.972,1.908,1.57,1.926,1.834,1.653,1.601,1.098,1.241,1.334,1.684,1.608,1.641,1.708
A,PC,POP,M,Y18-24,TOTAL,MT,5.234,4.438,4.48,4.199,4.457,4.268,4.01,3.884,3.381,3.274,3.521,3.546,3.164,2.764,2.987,3.488,3.013,2.88,3.082,3.01
A,PC,POP,M,Y18-24,TOTAL,NL,2.365,1.906,1.866,1.863,2.014,1.87,1.839,1.804,1.932,1.856,1.815,1.875,1.814,1.823,1.998,2.037,1.646,1.645,1.775,2.264
A,PC,POP,M,Y18-24,TOTAL,NO,1.49,2.766,2.922,2.836,3.228,3.227,3.297,3.025,2.708,2.259,2.274,2.395,2.47,2.411,2.44,2.716,3.848,3.775,3.6,3.757
A,PC,POP,M,Y18-24,TOTAL,PL,0.952,0.848,0.798,0.824,0.977,1.086,1.226,1.34,1.363,1.278,1.32,1.188,1.158,1.137,1.388,1.615,1.823,1.403,1.208,1.235
A,PC,POP,M,Y18-24,TOTAL,PT,6.465,5.667,5.509,5.59,5.301,4.886,4.639,4.589,3.985,3.589,2.934,3.194,2.933,2.823,2.839,3.02,2.177,2.033,2.465,2.007
A,PC,POP,M,Y18-24,TOTAL,RO,2.813,2.188,2.201,2.147,2.384,2.941,3.165,3.179,3.226,3.414,3.576,3.416,3.473,3.274,3.134,3.441,3.823,3.92,4.068,3.962
A,PC,POP,M,Y18-24,TOTAL,RS,1.49,1.337,1.36,1.399,1.435,1.387,1.591,1.495,1.415,1.453,1.412,1.355,1.216,1.333,1.367,1.264,2.203,1.573,1.43,1.75
A,PC,POP,M,Y18-24,TOTAL,SE,1.665,1.242,1.223,1.215,1.185,1.131,1.292,1.461,1.363,1.278,1.394,1.523,1.582,1.725,1.556,2.107,2.557,2.541,2.12,2.161
A,PC,POP,M,Y18-24,TOTAL,SI,0.91,0.873,0.747,0.972,1.066,0.965,0.944,0.928,0.863,1.051,1.174,1.244,1.119,1.039,1.094,1.077,1.063,0.992,1.43,1.595
A,PC,POP,M,Y18-24,TOTAL,SK,0.938,0.897,0.927,0.959,0.844,0.694,0.895,1.031,1.156,1.208,1.265,1.411,1.64,1.627,1.851,1.803,2.051,1.815,1.677,2.007
A,PC,POP,M,Y18-24,TOTAL,TR,1.49,5.077,5.02,5.118,5.612,5.701,6.247,6.204,6.038,6.216,6.418,6.072,5.981,5.96,6.078,6.438,6.051,5.372,4.956,5.043
A,PC,POP,M,Y18-24,TOTAL,UK,1.749,1.512,2.266,2.458,2.503,2.353,2.668,2.492,2.346,2.259,2.145,2.377,2.354,2.392,2.587,1.599,1.684,1.608,1.641,1.708
A,PC,POP,T,Y18-24,DEG1,AT,1.693,1.561,1.892,1.634,1.629,1.568,1.806,1.822,1.949,1.628,1.779,1.448,1.621,1.98,2.461,2.505,2.405,2.88,2.786,2.676
A,PC,POP,T,Y18-24,DEG1,BE,2.085,1.807,1.931,1.89,1.881,2.096,2.287,2.784,2.553,2.189,2.494,2.451,2.354,2.313,2.335,2.435,2.431,1.839,1.775,2.161
A,PC,POP,T,Y18-24,DEG1,BG,1.49,0.885,0.965,1.04,1.096,0.86,0.978,0.911,0.69,0.578,0.66,0.52,0.752,1.157,1.788,1.288,1.722,1.355,1.035,0.875
A,PC,POP,T,Y18-24,DEG1,CH,1.49,1.337,1.36,1.399,1.435,1.191,1.16,1.22,1.139,0.928,1.027,1.17,0.984,1.196,1.199,1.007,1.19,1.718,1.405,1.981
A,PC,POP,T,Y18-24,DEG1,CY,2.225,1.463,1.364,1.769,1.673,1.553,1.442,1.684,1.432,0.893,0.697,1.225,1.389,1.549,2.04,2.645,2.583,2.129,1.874,2.213
A,PC,POP,T,Y18-24,DEG1,CZ,1.022,0.566,0.682,0.918,0.814,0.829,0.812,0.911,0.794,0.735,0.953,1.225,1.061,1.098,1.22,1.569,1.215,1.282,1.603,1.415
A,PC,POP,T,Y18-24,DEG1,DE,2.113,1.844,1.738,1.701,1.821,1.915,2.038,1.942,1.777,1.768,1.889,1.931,1.987,2.058,2.145,2.271,3.114,3.049,3.106,3.191
A,PC,POP,T,Y18-24,DEG1,DK,0.798,0.897,1.249,1.391,1.303,1.387,1.259,1.34,1.07,1.033,1.063,0.984,1.1,1.392,1.493,1.264,1.62,1.524,1.652,1.595
A,PC,POP,T,Y18-24,DEG1,EA20,2.309,1.992,2.008,2.079,2.251,2.187,2.287,2.234,2.036,1.891,1.98,1.912,1.968,2.058,2.103,2.201,2.38,2.275,2.318,2.341
A,PC,POP,T,Y18-24,DEG1,EE,1.525,1.106,1.48,1.566,1.51,1.222,1.508,1.306,0.794,0.858,1.155,1.04,1.177,1.49,1.556,1.451,2.0,2.25,1.972,2.496
A,PC,POP,T,Y18-24,DEG1,EL,1.371,1.402,1.339,1.485,1.525,1.327,1.508,1.34,0.949,0.875,0.862,0.65,0.733,0.588,0.673,0.702,0.709,0.774,0.616,0.386
A,PC,POP,T,Y18-24,DEG1,ES,3.568,3.16,3.398,3.727,4.043,3.65,3.778,3.626,3.467,3.239,3.117,2.934,2.991,3.039,3.218,3.184,2.886,2.952,3.156,2.908
A,PC,POP,T,Y18-24,DEG1,EU27_2020,2.253,1.758,1.776,1.85,1.94,1.9,2.005,1.925,1.777,1.663,1.76,1.745,1.775,1.843,1.893,2.037,2.203,2.081,2.12,2.136
A,PC,POP,T,Y18-24,DEG1,FI,1.315,1.119,0.94,1.053,1.303,1.433,1.408,1.255,1.363,1.436,1.32,1.17,1.351,1.313,1.094,1.451,1.468,1.573,1.529,2.084
A,PC,POP,T,Y18-24,DEG1,FR,1.749,1.463,1.532,1.593,1.866,1.885,1.922,1.804,1.501,1.401,1.595,1.504,1.524,1.686,1.662,1.615,1.722,1.645,1.652,1.75
A,PC,POP,T,Y18-24,DEG1,HR,0.434,0.43,0.322,0.338,0.533,0.799,0.762,0.722,0.569,0.245,0.312,0.334,0.289,0.255,0.379,0.258,0.557,1.608,1.641,0.437
A,PC,POP,T,Y18-24,DEG1,HU,1.064,0.947,0.901,1.026,0.992,0.95,1.342,1.203,0.983,0.998,1.229,1.355,1.312,1.235,0.82,1.007,1.519,1.282,1.307,1.106
A,PC,POP,T,Y18-24,DEG1,IE,1.455,1.229,1.287,1.175,1.303,1.523,1.491,1.375,0.983,0.805,0.953,0.984,0.907,0.882,0.778,1.03,1.684,1.608,1.035,1.708
A,PC,POP,T,Y18-24,DEG1,IS,1.49,1.337,1.36,1.399,1.435,1.407,1.458,3.162,3.036,2.766,2.897,2.878,2.856,3.548,2.881,2.926,2.937,3.025,3.131,3.422
A,PC,POP,T,Y18-24,DEG1,IT,3.037,2.471,2.523,2.701,2.799,2.76,2.949,3.059,2.881,2.574,2.714,2.748,2.778,2.901,2.797,3.441,3.494,3.025,2.811,2.805
A,PC,POP,T,Y18-24,DEG1,LT,0.63,1.337,1.36,0.594,0.518,1.407,1.458,1.446,0.466,0.525,0.403,0.39,0.424,0.47,0.484,0.468,0.557,0.411,1.085,1.364
A,PC,POP,T,Y18-24,DEG1,LV,1.609,1.709,1.39,1.526,1.836,1.478,1.259,1.289,1.121,0.928,1.265,1.003,0.926,1.394,1.475,1.288,1.544,1.608,1.479,1.132
A,PC,POP,T,Y18-24,DEG1,MT,4.73,4.02,3.913,3.889,3.998,3.378,3.248,3.489,3.45,3.537,3.814,3.862,3.705,3.47,3.912,3.863,4.076,3.484,2.441,2.933
A,PC,POP,T,Y18-24,DEG1,NL,1.945,1.512,1.442,1.472,1.644,1.448,1.442,1.409,1.466,1.366,1.394,1.393,1.273,1.333,1.472,1.662,1.241,1.258,1.455,1.672
A,PC,POP,T,Y18-24,DEG1,NO,1.49,1.337,1.36,1.399,1.435,1.991,2.104,2.062,2.018,1.681,1.375,1.467,1.756,1.568,1.367,2.107,2.734,2.734,2.441,2.547
A,PC,POP,T,Y18-24,DEG1,PL,1.49,0.541,0.451,0.473,0.563,0.588,0.729,0.739,0.742,0.735,0.825,0.798,0.791,0.706,0.862,1.007,1.468,1.113,0.789,0.798
A,PC,POP,T,Y18-24,DEG1,PT,4.8,4.291,4.531,4.591,4.368,3.951,3.695,3.231,2.967,2.749,2.127,2.191,2.412,2.274,1.893,1.709,1.342,1.21,1.997,1.698
A,PC,POP,T,Y18-24,DEG1,RO,1.49,1.337,1.36,1.399,0.8,0.89,0.928,0.859,0.725,0.91,1.082,1.151,0.868,0.823,0.904,0.983,1.139,0.944,0.814,1.287
A,PC,POP,T,Y18-24,DEG1,RS,1.49,1.337,1.36,1.399,1.435,1.407,1.458,1.446,1.408,0.665,0.77,0.928,0.733,0.745,0.673,0.679,1.215,0.944,1.208,1.158
A,PC,POP,T,Y18-24,DEG1,SE,1.623,1.18,1.133,1.121,0.963,0.845,0.911,1.1,1.104,0.981,1.174,1.225,1.254,1.098,0.967,1.334,1.468,1.476,1.455,1.364
A,PC,POP,T,Y18-24,DEG1,SI,0.504,0.639,0.566,0.878,0.933,0.89,0.646,0.756,0.483,1.086,0.843,0.891,0.868,0.686,0.715,0.983,1.684,1.608,1.331,1.338
A,PC,POP,T,Y18-24,DEG1,UK,1.693,1.365,2.15,2.255,2.28,2.217,2.469,2.303,2.122,2.066,1.944,1.987,2.007,2.117,2.229,1.599,1.684,1.608,1.641,1.708
A,PC,POP,T,Y18-24,DEG2,AT,1.385,1.34,1.197,1.485,1.525,1.418,1.491,1.478,1.294,1.471,1.669,1.634,1.833,1.509,1.598,2.037,2.38,2.008,2.071,2.213
A,PC,POP,T,Y18-24,DEG2,BE,1.455,1.205,1.068,1.242,1.318,1.342,1.707,1.787,1.604,1.558,1.577,1.281,1.428,1.451,1.514,1.615,1.367,1.452,1.381,1.57
A,PC,POP,T,Y18-24,DEG2,BG,1.49,2.004,1.429,1.742,2.132,1.795,1.756,1.65,2.018,2.521,2.622,2.934,2.663,2.392,2.945,3.02,2.658,2.734,2.465,2.007
A,PC,POP,T,Y18-24,DEG2,CH,1.49,1.337,1.36,1.399,1.435,0.965,0.994,0.945,0.966,0.963,0.898,0.891,0.83,0.784,0.946,1.007,1.393,1.645,1.43,1.312
A,PC,POP,T,Y18-24,DEG2,CY,2.435,2.139,2.24,1.863,1.57,1.945,2.485,2.492,1.553,1.208,0.88,1.281,2.219,1.941,1.977,2.973,2.608,2.517,4.043,4.837
A,PC,POP,T,Y18-24,DEG2,CZ,0.812,0.688,0.759,0.81,0.755,0.603,0.762,1.134,1.087,1.331,1.43,1.318,1.582,1.529,1.662,1.92,1.899,1.742,2.046,1.75
A,PC,POP,T,Y18-24,DEG2,DE,1.819,1.598,1.558,1.539,1.51,1.704,1.839,1.89,1.777,1.716,1.98,2.024,2.065,2.215,2.335,2.645,3.418,3.291,3.526,3.628
A,PC,POP,T,Y18-24,DEG2,DK,1.217,1.242,1.802,1.769,1.659,1.78,1.872,1.719,1.622,1.541,1.43,1.504,1.987,2.098,2.377,2.599,3.064,2.541,2.934,3.165
A,PC,POP,T,Y18-24,DEG2,EA20,2.603,2.213,2.175,2.228,2.28,2.353,2.436,2.44,2.294,2.171,2.219,2.154,2.315,2.294,2.419,2.739,2.836,2.638,2.687,2.727
A,PC,POP,T,Y18-24,DEG2,EE,1.49,1.337,1.36,1.399,1.435,1.407,1.458,1.512,2.346,2.661,2.494,2.284,3.261,3.352,3.449,2.247,2.507,2.855,1.641,1.708
A,PC,POP,T,Y18-24,DEG2,EL,2.785,2.766,2.871,2.93,1.792,1.961,1.64,1.994,1.967,1.821,1.724,1.374,1.177,0.98,0.778,0.773,0.76,1.21,0.863,0.772
A,PC,POP,T,Y18-24,DEG2,ES,4.856,4.192,4.48,4.956,5.064,4.75,4.871,4.52,4.295,4.132,3.759,3.714,4.168,4.117,4.101,4.354,3.899,3.92,3.698,3.885
A,PC,POP,T,Y18-24,DEG2,EU27_2020,2.449,2.041,2.008,2.052,2.118,2.157,2.253,2.234,2.139,2.066,2.109,2.08,2.257,2.215,2.335,2.645,2.734,2.541,2.613,2.65
A,PC,POP,T,Y18-24,DEG2,FI,1.022,1.106,1.107,1.269,1.377,1.312,1.74,1.684,1.742,1.821,1.962,1.653,1.698,1.862,2.04,2.271,2.709,2.299,2.983,2.727
A,PC,POP,T,Y18-24,DEG2,FR,1.777,1.672,1.725,1.661,1.807,2.006,2.154,2.732,2.122,2.031,2.182,2.08,2.122,1.764,1.956,2.599,2.481,2.129,2.613,2.367
A,PC,POP,T,Y18-24,DEG2,HR,1.078,0.799,0.837,0.851,0.992,0.784,0.895,0.464,0.656,0.455,0.55,0.464,0.521,0.608,0.379,0.421,0.608,0.508,0.567,0.463
A,PC,POP,T,Y18-24,DEG2,HU,1.637,1.377,1.364,1.458,1.54,1.463,1.69,1.77,1.949,1.838,1.907,1.912,2.257,2.333,2.587,2.739,2.557,2.638,2.885,2.393
A,PC,POP,T,Y18-24,DEG2,IS,1.49,1.337,1.36,1.399,1.435,3.001,2.717,1.446,4.813,4.517,4.841,5.793,3.975,5.273,5.195,4.565,4.405,4.815,4.142,4.657
A,PC,POP,T,Y18-24,DEG2,IT,3.163,2.557,2.51,2.552,2.769,2.82,2.949,2.887,2.915,2.644,2.622,2.432,2.682,2.705,2.671,3.207,3.165,2.71,2.441,2.264
A,PC,POP,T,Y18-24,DEG2,LU,1.777,1.512,1.261,1.701,0.726,0.588,0.779,1.392,0.845,1.611,1.944,1.151,1.949,1.588,2.103,2.575,2.583,2.638,1.641,2.908
A,PC,POP,T,Y18-24,DEG2,MT,4.534,4.303,4.016,2.566,2.873,2.157,2.336,2.715,2.519,2.416,2.274,2.265,1.64,2.137,2.124,2.388,1.722,1.67,2.638,2.136
A,PC,POP,T,Y18-24,DEG2,NL,2.141,1.697,1.725,1.661,1.777,1.659,1.624,1.633,1.673,1.681,1.595,1.653,1.563,1.509,1.746,1.615,1.317,1.379,1.677,2.033
A,PC,POP,T,Y18-24,DEG2,NO,1.49,1.337,1.36,1.399,1.435,2.73,2.9,2.629,2.312,2.031,1.76,1.931,2.007,1.843,2.187,2.247,3.038,3.412,3.353,4.014
A,PC,POP,T,Y18-24,DEG2,PL,1.49,0.566,0.489,0.581,0.622,0.603,0.729,0.962,0.845,0.858,0.898,0.984,1.061,1.059,1.304,1.358,1.544,1.21,1.159,1.544
A,PC,POP,T,Y18-24,DEG2,PT,6.157,5.348,5.02,4.942,4.827,4.69,3.844,3.832,3.398,3.117,2.457,2.915,2.161,1.98,2.482,2.599,1.722,1.621,1.775,1.672
A,PC,POP,T,Y18-24,DEG2,RO,1.49,1.337,1.36,1.399,1.435,1.407,1.458,2.475,2.881,2.977,3.539,3.231,3.377,2.921,3.302,3.582,3.342,3.267,3.526,3.937
A,PC,POP,T,Y18-24,DEG2,RS,1.49,1.337,1.36,1.399,1.435,1.407,1.458,1.446,1.408,1.173,0.898,0.984,1.042,1.137,1.535,1.709,2.127,1.718,1.652,1.672
A,PC,POP,T,Y18-24,DEG2,SE,1.609,1.082,1.146,1.175,1.17,1.041,1.309,1.306,1.208,1.208,1.302,1.467,1.486,1.647,1.535,2.154,2.456,2.492,1.775,2.161
A,PC,POP,T,Y18-24,DEG2,SI,0.644,0.787,0.528,0.527,0.829,0.648,0.597,0.55,0.794,0.875,1.008,1.151,1.119,0.882,1.073,1.077,0.886,1.161,1.578,1.415
A,PC,POP,T,Y18-24,DEG2,SK,1.49,1.337,0.94,0.662,0.755,0.588,0.696,0.601,1.001,0.981,0.788,1.337,1.794,1.274,2.461,2.13,2.81,1.718,1.641,1.595
A,PC,POP,T,Y18-24,DEG2,UK,1.693,1.438,2.188,2.485,2.606,2.262,2.535,2.354,2.26,2.171,2.072,2.284,2.238,2.137,2.524,1.599,1.684,1.608,1.641,1.708
A,PC,POP,T,Y18-24,DEG3,AT,0.91,0.885,1.017,1.053,0.829,0.875,0.978,0.876,0.776,0.718,0.77,0.854,0.945,0.863,0.925,1.241,1.393,1.282,1.504,1.209
A,PC,POP,T,Y18-24,DEG3,BE,1.525,1.512,1.339,1.809,1.614,2.036,1.872,1.701,1.829,1.453,1.742,1.43,1.544,1.274,1.325,1.756,1.241,1.161,1.504,1.955
A,PC,POP,T,Y18-24,DEG3,BG,1.49,3.246,3.064,3.079,3.302,3.152,3.132,4.606,4.813,5.113,5.391,5.626,5.383,5.136,5.111,5.923,5.925,4.525,4.635,4.554
A,PC,POP,T,Y18-24,DEG3,CH,1.49,1.337,1.36,1.399,1.435,0.528,0.812,0.722,0.845,1.086,0.99,0.706,0.83,0.627,0.505,0.679,1.089,1.113,1.257,1.184
A,PC,POP,T,Y18-24,DEG3,CY,3.359,2.569,1.841,2.066,2.014,2.85,2.651,2.097,1.915,1.786,1.559,2.061,1.505,0.941,1.346,2.762,2.127,1.608,3.156,3.088
A,PC,POP,T,Y18-24,DEG3,CZ,0.854,0.652,0.605,0.567,0.814,0.739,0.845,0.808,0.914,0.823,1.008,1.151,1.216,1.039,1.346,1.803,1.671,1.428,1.159,1.055
A,PC,POP,T,Y18-24,DEG3,DE,1.441,1.352,1.313,1.337,1.348,1.387,1.657,1.375,1.311,1.348,1.522,1.615,1.64,1.627,1.893,1.966,2.481,2.371,2.663,2.856
A,PC,POP,T,Y18-24,DEG3,DK,1.679,1.279,2.072,2.12,2.295,2.232,2.237,2.011,1.777,1.873,2.072,1.82,2.257,2.784,2.587,3.043,3.342,3.702,3.698,3.988
A,PC,POP,T,Y18-24,DEG3,EA20,2.687,2.373,2.356,2.39,2.517,2.488,2.635,2.423,2.277,2.119,2.164,2.098,1.968,2.0,2.082,2.294,2.203,2.105,2.17,2.367
A,PC,POP,T,Y18-24,DEG3,EE,2.351,2.127,2.214,2.228,2.399,2.141,2.104,2.32,2.346,3.204,3.722,3.435,3.087,2.921,2.881,2.622,3.114,3.073,2.983,3.654
A,PC,POP,T,Y18-24,DEG3,EL,3.96,3.873,4.093,4.051,2.769,3.016,3.165,3.093,3.019,2.784,2.439,1.931,2.161,1.568,1.535,1.545,1.038,1.113,1.479,1.57
A,PC,POP,T,Y18-24,DEG3,ES,5.346,4.438,4.621,4.699,5.138,4.901,4.971,5.087,4.899,4.587,4.511,4.419,4.013,3.862,4.122,4.588,3.924,3.654,3.55,3.757
A,PC,POP,T,Y18-24,DEG3,EU27_2020,2.477,1.844,1.879,1.917,2.266,2.292,2.419,2.406,2.294,2.189,2.237,2.21,2.161,2.156,2.229,2.528,2.557,2.42,2.441,2.599
A,PC,POP,T,Y18-24,DEG3,FI,1.693,1.279,1.339,1.539,1.584,1.674,1.707,1.736,1.846,1.943,2.054,1.912,1.949,2.039,1.83,2.622,2.785,2.831,3.723,3.139
A,PC,POP,T,Y18-24,DEG3,FR,1.623,1.709,1.995,1.458,1.762,1.9,2.171,1.959,1.587,1.366,1.412,1.485,1.679,1.706,1.683,1.873,2.101,2.008,1.8,2.187
A,PC,POP,T,Y18-24,DEG3,HR,1.49,1.337,1.36,1.399,1.435,1.407,1.458,1.169,0.897,0.683,0.587,0.706,0.791,0.921,1.031,0.796,0.633,0.726,0.616,0.643
A,PC,POP,T,Y18-24,DEG3,HU,2.295,2.041,1.892,2.025,2.266,2.157,2.353,2.87,2.967,2.854,2.915,3.287,3.454,3.568,3.765,4.331,4.861,4.767,4.191,4.348
A,PC,POP,T,Y18-24,DEG3,IE,1.973,1.709,1.751,1.863,2.058,1.991,2.071,1.822,1.777,1.331,1.32,1.263,1.023,1.019,1.136,1.007,0.836,0.895,0.863,0.823
A,PC,POP,T,Y18-24,DEG3,IS,1.49,1.337,1.36,1.399,1.435,4.268,4.507,1.446,5.02,4.99,4.841,5.44,6.657,6.097,6.184,4.729,5.444,7.211,7.273,5.583
A,PC,POP,T,Y18-24,DEG3,IT,3.079,2.52,2.497,2.741,3.05,2.911,3.032,3.042,2.95,2.696,2.787,2.525,2.624,2.862,3.029,3.395,2.785,2.468,2.49,2.573
A,PC,POP,T,Y18-24,DEG3,LT,1.595,1.574,1.39,1.337,1.836,1.749,1.773,1.787,1.708,1.471,1.522,1.337,1.698,1.294,1.031,1.92,2.076,1.621,1.874,3.293
A,PC,POP,T,Y18-24,DEG3,LU,1.567,1.93,1.738,1.796,1.629,1.614,0.994,1.186,1.139,0.981,1.632,1.077,1.042,0.961,0.967,1.615,2.051,1.331,1.641,1.708
A,PC,POP,T,Y18-24,DEG3,LV,2.631,2.127,2.549,2.579,2.369,2.307,2.452,2.389,2.329,2.136,2.219,2.729,2.373,2.215,2.335,2.318,2.557,2.178,2.342,2.933
A,PC,POP,T,Y18-24,DEG3,MT,3.61,2.852,3.385,3.011,2.902,2.805,2.519,3.265,2.45,2.959,2.2,1.371,1.393,1.394,1.475,1.599,1.684,1.608,1.641,1.708
A,PC,POP,T,Y18-24,DEG3,NL,2.015,2.262,1.661,2.066,1.688,1.825,2.22,1.684,1.949,1.786,1.687,1.485,1.351,1.764,1.872,1.686,1.595,1.791,1.381,1.775
A,PC,POP,T,Y18-24,DEG3,NO,1.49,1.337,1.36,1.399,1.435,2.865,2.999,2.836,2.657,2.311,2.347,2.544,2.219,2.313,2.566,2.435,3.671,3.484,3.501,3.396
A,PC,POP,T,Y18-24,DEG3,PL,1.49,0.811,0.85,0.878,1.007,1.071,1.16,1.186,1.208,1.121,1.118,1.058,1.003,1.039,1.157,1.358,1.418,1.113,0.838,0.978
A,PC,POP,T,Y18-24,DEG3,PT,5.22,4.672,4.492,4.591,4.59,4.238,3.861,3.643,3.536,3.449,3.135,2.934,2.798,2.764,2.482,2.341,1.95,2.033,2.318,1.698
A,PC,POP,T,Y18-24,DEG3,RO,1.49,1.337,1.36,1.399,3.569,4.268,4.374,5.328,5.003,5.113,5.097,4.939,5.229,4.979,4.711,5.384,5.874,5.928,6.78,6.767
A,PC,POP,T,Y18-24,DEG3,RS,1.49,1.337,1.36,1.399,1.435,1.407,1.458,1.446,1.408,2.469,2.219,1.857,1.737,2.019,1.956,1.569,2.532,1.645,1.504,2.058
A,PC,POP,T,Y18-24,DEG3,SE,1.441,1.02,0.978,1.026,1.022,1.01,1.11,1.53,1.449,1.453,1.504,1.504,1.872,1.804,1.767,2.084,2.785,2.662,2.564,2.239
